rainfall_1h,rainfall_3h,rainfall_6h,rainfall_24h,forecast_rain_3h,forecast_rain_6h,soil_moisture,soil_saturation,water_level,water_level_rise_rate,incoming_flow,elevation,slope,flow_accumulation,storage_remaining,historical_flood_frequency,target_flood_1h,target_flood_3h,target_flood_6h,prob_groundtruth_1h,prob_groundtruth_3h,prob_groundtruth_6h
14.67,34.56,63.38,107.1,15.7,52.64,60.48,69.22,7.9,0.055,17278.9,41.0,1.19,214681.0,56.64,1.81,0,1,1,0.241,0.782,0.914
1.18,3.38,7.61,25.5,2.76,3.15,31.98,38.94,6.62,-0.267,17699.6,47.3,1.62,243244.0,75.0,2.21,0,0,0,0.0,0.032,0.006
29.08,74.63,156.93,241.84,56.69,102.55,85.45,99.5,7.83,0.303,18968.0,138.9,4.91,124640.0,0.92,0.38,1,1,1,0.997,1.0,1.0
0.38,4.2,4.41,17.36,5.17,8.53,42.11,45.69,6.51,-0.283,14788.2,45.5,0.93,225765.0,75.0,1.83,0,0,0,0.0,0.024,0.008
14.26,35.73,57.4,116.45,16.18,38.67,53.81,61.54,7.45,-0.081,17840.2,45.3,2.06,225606.0,70.77,2.45,0,1,1,0.015,0.741,0.749
7.5,25.45,64.29,138.08,18.57,44.76,56.05,71.45,7.24,-0.071,17108.0,36.8,1.59,227534.0,52.54,2.28,0,1,1,0.033,0.83,0.957
13.93,35.2,57.8,102.67,20.67,49.0,57.97,66.56,6.47,0.075,9048.7,173.7,9.5,75620.0,61.53,0.78,0,0,0,0.011,0.303,0.18
1.47,3.22,3.7,5.87,4.64,5.55,29.03,37.55,5.66,-0.246,9164.6,141.9,8.18,125995.0,75.0,0.48,0,0,0,0.0,0.002,0.0
21.25,85.51,176.55,304.56,47.58,140.91,82.26,99.5,9.41,0.46,24526.5,86.2,1.95,165987.0,0.92,1.61,1,1,1,1.0,1.0,1.0
6.56,23.23,55.15,86.28,18.24,56.72,58.6,67.49,6.33,-0.055,13738.0,78.0,3.88,163402.0,59.81,1.88,0,0,0,0.004,0.241,0.424
31.78,101.79,190.48,331.76,58.16,136.08,82.15,99.5,8.77,0.438,24763.0,85.7,1.53,187700.0,0.92,1.3,1,1,1,0.999,1.0,1.0
14.74,34.56,66.08,124.4,13.8,53.62,52.75,65.33,6.69,0.108,12029.9,147.3,7.0,108076.0,63.8,1.08,0,0,0,0.028,0.425,0.487
0.45,2.37,3.52,17.8,7.39,13.06,24.73,29.1,5.31,-0.45,8446.6,130.9,3.36,106119.0,75.0,1.15,0,0,0,0.0,0.0,0.0
13.05,30.7,60.39,100.64,16.96,44.15,49.11,59.58,7.11,0.079,17385.2,61.9,1.03,194775.0,74.37,1.51,0,1,1,0.018,0.717,0.595
17.28,32.51,65.1,141.22,20.37,42.91,55.66,70.27,7.03,0.044,16461.0,60.2,2.41,194818.0,54.7,2.0,0,1,1,0.048,0.787,0.876
29.53,79.55,172.43,276.12,55.56,144.47,85.96,99.5,8.82,0.437,23270.0,49.3,0.5,210011.0,0.92,2.28,1,1,1,0.999,1.0,1.0
28.4,68.82,157.13,266.0,48.69,123.57,87.04,99.5,8.96,0.387,20659.1,130.7,0.5,118252.0,0.92,0.83,1,1,1,1.0,1.0,1.0
0.63,7.09,9.13,13.54,4.34,4.85,32.15,35.17,4.47,-0.381,7581.2,145.8,4.64,101001.0,75.0,0.34,0,0,0,0.0,0.0,0.0
0.16,7.02,7.96,9.89,1.53,1.7,29.66,37.54,6.04,-0.442,12828.2,73.4,2.68,182120.0,75.0,1.91,0,0,0,0.0,0.002,0.001
1.16,2.67,6.76,10.77,4.72,5.82,38.19,43.72,6.05,-0.337,12056.5,38.0,1.08,222983.0,75.0,2.99,0,0,0,0.0,0.006,0.003
70.5,197.21,343.28,505.88,63.42,220.46,83.34,99.5,9.96,0.863,34000.0,46.9,0.5,220270.0,0.92,2.09,1,1,1,1.0,1.0,1.0
1.73,8.01,12.81,17.84,0.26,9.54,32.94,42.48,5.75,-0.321,10323.5,175.3,3.56,72108.0,75.0,0.84,0,0,0,0.0,0.003,0.0
11.37,26.11,58.44,93.77,16.18,50.32,54.83,66.7,6.33,-0.213,15252.4,77.8,3.27,181848.0,61.27,1.53,0,0,1,0.002,0.251,0.678
6.3,16.6,46.92,108.09,13.74,29.73,43.89,59.93,5.92,0.077,10490.0,146.5,6.66,121535.0,73.74,0.84,0,0,0,0.002,0.116,0.071
17.46,25.93,40.99,87.15,14.45,46.66,43.24,53.99,6.31,0.068,12975.3,125.6,4.36,136930.0,75.0,1.31,0,0,0,0.007,0.137,0.107
2.7,4.34,10.27,39.06,0.42,2.77,39.64,50.95,6.02,-0.325,10668.4,90.4,5.05,147680.0,75.0,1.58,0,0,0,0.0,0.006,0.002
1.23,2.24,7.63,22.29,1.09,1.42,37.02,42.95,7.4,-0.363,15868.5,64.8,2.73,210066.0,75.0,1.86,0,0,0,0.001,0.125,0.004
5.15,19.43,36.89,105.97,16.69,51.67,48.81,56.56,6.48,-0.174,15223.8,52.6,1.13,225962.0,75.0,2.34,0,0,1,0.001,0.228,0.663
0.51,4.48,13.26,35.06,1.33,1.63,29.61,39.8,4.9,-0.293,8065.7,124.2,3.72,124467.0,75.0,1.66,0,0,0,0.0,0.0,0.001
0.56,1.94,14.84,24.84,2.05,7.38,37.19,41.32,5.86,-0.296,8099.1,147.3,1.44,80786.0,75.0,0.86,0,0,0,0.0,0.002,0.0
1.01,3.29,4.41,5.14,2.56,9.17,34.37,42.23,3.96,-0.409,9870.8,128.4,4.24,126082.0,75.0,0.88,0,0,0,0.0,0.0,0.0
10.36,27.69,51.91,104.42,14.18,51.97,54.68,67.48,6.3,0.17,12246.3,111.9,6.16,145612.0,59.84,1.22,0,0,0,0.026,0.219,0.429
11.39,28.7,44.81,105.93,14.05,40.55,52.63,67.19,7.14,-0.041,17046.1,41.1,1.94,213876.0,60.38,3.04,0,1,1,0.04,0.668,0.708
0.64,2.13,3.16,25.93,1.12,4.43,31.19,39.05,4.65,-0.207,5499.2,175.4,9.5,47715.0,75.0,0.41,0,0,0,0.0,0.0,0.0
1.14,3.48,6.75,27.51,3.35,5.24,34.98,41.57,5.36,-0.374,7673.9,150.8,4.46,97710.0,75.0,0.54,0,0,0,0.0,0.001,0.0
1.21,1.48,1.86,9.71,4.61,8.28,31.45,34.07,5.7,-0.303,12340.6,77.5,4.59,183553.0,75.0,1.42,0,0,0,0.0,0.005,0.001
13.7,24.38,52.98,103.02,25.66,44.79,52.22,61.74,5.26,-0.002,8955.8,177.1,5.58,61226.0,70.4,0.1,0,0,0,0.001,0.079,0.106
0.93,6.99,15.91,38.86,0.94,10.85,33.79,40.68,5.88,-0.403,9312.9,122.3,7.52,132021.0,75.0,1.23,0,0,0,0.0,0.004,0.001
15.47,37.94,80.91,157.76,14.8,33.63,65.18,74.98,6.9,0.143,11927.9,119.5,4.13,120117.0,46.04,1.36,0,1,1,0.128,0.651,0.733
1.41,3.48,5.07,18.91,0.13,0.3,31.53,36.69,4.86,-0.349,7316.6,143.5,6.85,101313.0,75.0,0.7,0,0,0,0.0,0.0,0.0
59.17,140.8,315.47,588.2,93.08,225.46,80.81,99.5,9.78,0.811,31387.7,152.7,9.4,104752.0,0.92,0.69,1,1,1,1.0,1.0,1.0
0.01,1.8,8.6,21.34,0.52,7.12,34.82,42.25,6.37,-0.393,9133.1,130.2,4.1,118523.0,75.0,0.66,0,0,0,0.0,0.006,0.0
83.58,170.31,298.95,486.35,63.16,213.03,83.14,99.5,9.99,0.975,30107.6,53.6,2.09,190632.0,0.92,2.15,1,1,1,1.0,1.0,1.0
43.23,103.56,199.42,332.92,43.21,117.97,84.2,99.5,9.12,0.643,25511.8,84.0,4.89,172051.0,0.92,1.82,1,1,1,1.0,1.0,1.0
15.87,37.64,55.07,108.2,17.95,55.51,55.85,67.11,6.76,-0.112,9344.8,169.6,5.53,60461.0,60.52,0.29,0,0,0,0.013,0.171,0.187
65.06,156.04,329.61,535.91,72.83,224.06,82.56,99.5,9.74,0.704,34000.0,67.6,0.76,202924.0,0.92,2.41,1,1,1,1.0,1.0,1.0
0.14,0.19,0.81,2.96,1.54,4.98,37.3,39.57,5.15,-0.349,11689.8,89.0,6.55,178025.0,75.0,1.35,0,0,0,0.0,0.001,0.0
0.71,1.29,1.85,9.98,1.67,2.94,27.34,32.29,5.85,-0.393,11339.8,97.7,2.59,137937.0,75.0,1.56,0,0,0,0.0,0.002,0.0
0.3,0.51,0.62,1.96,2.71,4.19,29.54,33.34,5.86,-0.41,9515.6,98.7,3.74,172929.0,75.0,1.72,0,0,0,0.0,0.002,0.001
0.03,1.81,4.88,11.6,0.23,5.16,34.31,40.7,5.11,-0.28,10419.5,123.9,6.91,114666.0,75.0,1.08,0,0,0,0.0,0.001,0.001
1.4,2.66,4.57,6.61,2.8,6.0,35.45,39.31,5.0,-0.35,8731.9,171.7,4.13,97293.0,75.0,0.36,0,0,0,0.0,0.0,0.0
6.12,20.54,62.65,115.27,16.5,50.81,58.96,69.63,7.51,0.04,16283.1,69.9,1.18,195388.0,55.88,1.44,0,1,1,0.051,0.754,0.897
0.27,2.13,6.56,29.72,2.36,4.06,42.95,47.67,5.64,-0.258,11649.0,52.6,2.08,198163.0,75.0,2.53,0,0,0,0.0,0.014,0.003
14.98,38.25,67.59,97.81,27.62,47.58,41.56,57.34,6.8,-0.145,15800.8,63.6,0.5,186510.0,75.0,1.91,0,1,0,0.003,0.618,0.489
0.16,1.08,2.99,22.27,0.99,1.16,29.99,34.99,5.32,-0.377,7393.9,163.6,4.88,88896.0,75.0,0.7,0,0,0,0.0,0.0,0.0
13.27,32.68,72.1,122.05,11.72,43.31,61.97,72.14,7.5,0.044,15446.1,128.6,5.07,119759.0,51.26,1.24,0,1,1,0.233,0.743,0.822
49.84,120.86,300.94,497.41,86.25,219.28,85.34,99.5,10.12,0.591,33000.4,76.5,2.3,186802.0,0.92,1.59,1,1,1,1.0,1.0,1.0
10.21,19.08,41.66,81.38,29.55,66.73,48.32,60.03,6.41,-0.202,10853.1,153.3,1.11,120217.0,73.54,0.62,0,0,0,0.001,0.316,0.215
10.87,19.95,38.42,109.07,28.91,44.85,60.71,73.55,6.06,-0.056,11531.6,159.9,9.5,77633.0,48.67,0.99,0,1,0,0.011,0.516,0.357
16.84,31.3,52.71,87.83,25.43,54.5,45.47,56.56,6.53,-0.111,11842.5,157.7,5.82,91606.0,75.0,0.28,0,0,0,0.004,0.312,0.193
40.81,84.86,175.57,265.02,33.14,80.48,85.79,99.5,7.87,0.639,19616.6,168.2,9.5,99404.0,0.92,1.11,1,1,1,0.999,0.999,1.0
1.99,4.65,5.38,11.21,2.89,4.06,34.35,37.75,5.47,-0.375,12259.8,71.6,2.17,198168.0,75.0,1.63,0,0,0,0.0,0.005,0.001
81.85,206.73,366.49,594.96,92.66,193.34,80.47,99.5,10.61,1.062,29980.1,144.5,2.77,82524.0,0.92,0.45,1,1,1,1.0,1.0,1.0
9.75,20.06,62.81,129.0,10.93,42.41,61.37,71.6,7.84,-0.071,15454.4,101.8,4.06,165447.0,52.26,1.46,0,1,1,0.138,0.846,0.803
0.5,4.73,6.41,18.81,0.36,3.23,29.87,37.68,5.34,-0.421,7332.8,157.1,4.89,74047.0,75.0,1.29,0,0,0,0.0,0.001,0.0
56.76,136.65,302.38,531.79,109.17,242.7,88.94,99.5,10.16,0.668,28362.3,140.6,1.94,132345.0,0.92,0.29,1,1,1,1.0,1.0,1.0
65.63,190.39,374.93,591.76,85.57,240.92,85.98,99.5,10.1,0.779,32933.2,147.6,9.07,90555.0,0.92,0.72,1,1,1,1.0,1.0,1.0
13.02,33.16,50.76,116.67,15.29,33.76,55.6,66.45,6.79,0.02,14352.6,130.1,3.1,168370.0,61.74,1.16,0,0,0,0.014,0.481,0.417
2.27,5.21,7.31,14.08,0.44,0.47,36.57,43.43,6.41,-0.249,14669.6,60.7,0.5,229138.0,75.0,2.01,0,0,0,0.0,0.017,0.006
28.73,69.67,144.97,291.68,34.02,79.06,87.82,99.5,7.9,0.534,19834.0,114.0,6.72,131216.0,0.92,1.36,1,1,1,0.998,0.999,1.0
2.79,6.21,6.42,7.42,2.31,3.93,25.42,29.74,4.23,-0.45,7534.7,177.8,4.61,66968.0,75.0,0.12,0,0,0,0.0,0.0,0.0
14.41,29.29,73.32,138.04,10.93,35.85,62.28,78.53,6.27,0.277,9845.0,170.9,4.11,86199.0,39.51,0.25,0,0,0,0.109,0.495,0.32
1.0,1.38,1.39,2.38,1.49,4.99,36.3,38.25,7.01,-0.44,15309.2,41.3,0.5,242243.0,75.0,2.24,0,0,0,0.0,0.035,0.001
6.21,25.52,59.03,136.02,26.81,70.11,59.9,68.08,7.38,-0.046,16948.5,58.9,3.91,215957.0,58.73,1.69,0,1,1,0.035,0.855,0.975
44.15,96.79,176.06,278.59,47.8,96.08,83.23,99.5,9.34,0.664,24820.9,54.1,0.64,233862.0,0.92,2.09,1,1,1,1.0,1.0,1.0
1.34,1.4,2.47,5.27,5.56,6.11,35.46,39.95,5.63,-0.286,8349.0,140.3,5.06,109835.0,75.0,0.75,0,0,0,0.0,0.001,0.0
80.63,158.09,326.66,511.44,75.8,235.66,83.04,99.5,9.16,1.042,28074.8,153.6,7.9,90205.0,0.92,0.54,1,1,1,1.0,1.0,1.0
0.31,0.87,4.43,20.63,8.09,12.32,32.12,39.67,6.2,-0.268,12570.4,66.0,2.81,195646.0,75.0,2.03,0,0,0,0.0,0.007,0.003
0.99,2.31,5.92,16.94,0.49,4.38,30.77,36.55,5.67,-0.335,10960.0,108.3,3.68,162857.0,75.0,0.78,0,0,0,0.0,0.001,0.001
7.66,23.99,46.78,92.42,22.28,39.21,50.24,57.35,5.82,-0.069,11401.9,156.9,0.69,97195.0,75.0,0.56,0,0,0,0.001,0.125,0.123
20.3,60.53,120.65,216.48,57.09,121.66,79.43,92.07,7.68,0.188,14364.1,141.3,2.89,114862.0,14.6,1.55,1,1,1,0.925,0.997,1.0
63.8,172.46,348.08,488.57,102.84,261.91,86.92,99.5,9.73,0.727,33105.9,113.6,4.36,155579.0,0.92,0.92,1,1,1,1.0,1.0,1.0
23.05,84.09,134.23,218.16,39.98,126.53,84.12,97.57,7.48,0.282,16568.1,120.6,2.51,104514.0,4.47,1.53,1,1,1,0.981,0.997,1.0
1.27,2.74,5.05,12.58,0.75,8.1,37.38,39.7,7.09,-0.45,13226.2,108.7,4.2,154196.0,75.0,1.33,0,0,0,0.0,0.038,0.001
67.71,166.75,318.61,589.62,96.18,187.77,88.89,99.5,10.1,0.748,30204.5,78.1,3.69,189505.0,0.92,1.57,1,1,1,1.0,1.0,1.0
62.48,149.78,348.6,546.75,63.39,176.29,85.33,99.5,10.49,0.688,34000.0,116.9,6.12,164718.0,0.92,0.8,1,1,1,1.0,1.0,1.0
0.47,2.75,3.78,4.22,0.2,1.37,26.99,32.75,4.45,-0.45,8208.6,134.9,1.74,95205.0,75.0,0.99,0,0,0,0.0,0.0,0.0
9.53,31.71,54.82,86.39,25.61,66.68,53.34,63.28,6.48,-0.007,12587.9,161.6,9.5,109400.0,67.57,1.0,0,1,0,0.004,0.518,0.417
11.4,24.24,62.41,92.85,28.48,69.45,45.41,59.09,5.97,-0.138,12512.5,127.3,6.21,128416.0,75.0,0.94,0,0,0,0.001,0.225,0.385
12.08,24.8,40.79,120.78,25.24,50.4,62.55,73.52,6.49,0.118,11303.0,145.4,5.08,112900.0,48.71,0.77,0,1,1,0.034,0.606,0.549
45.77,154.13,352.95,591.94,64.19,176.37,83.03,99.5,10.31,0.478,34000.0,58.2,3.18,235286.0,0.92,2.34,1,1,1,1.0,1.0,1.0
0.14,6.22,7.82,23.69,0.18,0.66,35.9,44.31,6.28,-0.365,15503.2,101.9,7.91,166100.0,75.0,1.52,0,0,0,0.0,0.011,0.001
13.83,36.17,57.22,108.13,22.39,61.28,54.59,64.34,7.78,-0.04,17659.1,36.4,0.5,242382.0,65.61,1.88,0,1,1,0.108,0.871,0.924
1.19,1.44,4.57,30.48,4.05,7.13,32.45,44.35,6.42,-0.207,11628.1,70.8,2.19,198712.0,75.0,1.89,0,0,0,0.0,0.018,0.002
17.94,27.73,57.09,125.85,12.82,57.0,53.67,63.67,6.29,0.032,13981.4,140.3,0.5,104343.0,66.85,1.32,0,0,1,0.005,0.336,0.706
28.85,77.86,140.65,243.69,50.22,113.83,85.09,99.5,8.26,0.458,15588.0,178.8,6.88,64998.0,0.92,0.31,1,1,1,0.999,1.0,1.0
0.26,4.4,4.66,26.25,0.64,3.04,30.02,39.83,5.82,-0.437,13719.9,49.4,2.05,210010.0,75.0,1.34,0,0,0,0.0,0.005,0.002
9.95,27.65,66.53,146.0,16.12,47.74,71.54,80.19,8.08,0.153,16492.4,93.2,3.2,167471.0,36.46,1.66,1,1,1,0.802,0.956,0.898
63.64,193.58,376.38,571.97,83.84,183.52,85.68,99.5,9.79,0.778,30531.6,151.0,3.51,63749.0,0.92,0.65,1,1,1,1.0,1.0,1.0
38.88,107.69,215.59,340.86,53.47,118.01,87.8,99.5,9.07,0.394,26260.6,64.6,0.5,208933.0,0.92,1.4,1,1,1,1.0,1.0,1.0
12.92,26.85,63.98,95.11,10.57,47.05,51.48,59.29,7.24,-0.004,13831.7,115.5,4.82,139589.0,74.91,0.72,0,0,0,0.014,0.403,0.445
3.2,5.7,10.89,31.73,0.9,1.3,37.18,42.68,5.35,-0.272,7617.6,141.3,8.65,105403.0,75.0,1.15,0,0,0,0.0,0.001,0.0
17.13,41.09,69.34,110.2,27.85,64.1,65.09,72.1,7.04,0.061,12023.0,124.3,3.03,134115.0,51.34,0.88,0,1,1,0.124,0.732,0.813
20.21,59.51,168.51,251.56,39.89,110.06,87.86,99.5,8.0,0.32,21517.7,62.3,2.67,183780.0,0.92,1.71,1,1,1,0.99,1.0,1.0
24.61,68.89,140.07,241.63,58.12,125.63,84.4,93.58,8.02,0.257,18841.7,86.5,0.59,205102.0,11.81,1.62,1,1,1,0.985,1.0,1.0
0.39,1.33,1.49,2.1,2.53,2.95,25.99,30.94,5.35,-0.329,7330.2,148.6,6.43,100079.0,75.0,0.55,0,0,0,0.0,0.001,0.0
11.19,33.51,59.56,106.85,27.46,68.41,55.77,67.95,7.12,0.053,12775.7,115.4,3.22,139377.0,58.96,1.25,0,1,1,0.032,0.825,0.738
2.55,4.67,16.84,37.35,1.07,4.55,36.03,45.8,6.89,-0.361,15207.3,35.8,0.76,222609.0,75.0,2.3,0,0,0,0.0,0.058,0.009
0.16,2.16,3.38,7.38,0.27,1.82,29.45,37.52,5.44,-0.365,8318.9,145.3,3.1,105947.0,75.0,0.44,0,0,0,0.0,0.001,0.0
11.26,29.46,53.61,123.22,20.42,54.56,63.0,72.12,7.7,-0.026,18108.5,40.1,1.12,252660.0,51.3,2.14,0,1,1,0.125,0.848,0.937
0.39,4.6,8.51,32.31,0.35,2.03,42.04,41.44,5.57,-0.436,10742.9,143.1,5.99,123781.0,75.0,0.96,0,0,0,0.0,0.002,0.001
0.14,0.75,2.76,29.76,1.63,3.03,41.45,44.33,6.45,-0.188,12739.3,64.4,0.73,215585.0,75.0,1.96,0,0,0,0.0,0.021,0.004
38.67,74.46,146.67,274.73,50.41,123.83,84.13,99.5,7.72,0.504,14911.1,173.9,4.84,79491.0,0.92,0.36,1,1,1,0.998,0.999,1.0
7.75,21.48,64.43,143.13,16.24,50.58,64.93,74.14,6.33,-0.055,12022.7,88.4,3.03,168600.0,47.59,2.19,0,0,1,0.018,0.205,0.879
26.03,75.77,173.31,293.41,59.74,134.32,83.19,99.5,8.6,0.311,21731.9,82.4,1.25,159361.0,0.92,1.91,1,1,1,0.998,1.0,1.0
13.18,21.75,59.24,138.14,19.46,39.22,58.11,69.81,7.55,0.011,16544.1,56.6,3.81,209078.0,55.56,2.32,0,1,1,0.075,0.895,0.907
44.42,91.03,165.58,251.77,33.88,85.79,81.99,99.5,9.83,0.42,23745.7,79.3,1.56,181287.0,0.92,1.69,1,1,1,1.0,1.0,1.0
0.95,2.99,6.72,17.24,1.37,7.04,23.51,30.5,5.59,-0.432,7118.2,162.1,3.72,101195.0,75.0,0.62,0,0,0,0.0,0.001,0.0
3.26,4.05,4.6,11.25,0.05,7.57,30.95,34.78,5.33,-0.264,7432.3,179.5,3.12,69279.0,75.0,0.18,0,0,0,0.0,0.001,0.0
8.12,25.45,43.91,101.57,10.78,48.84,58.48,64.44,6.59,0.009,12118.9,88.4,5.96,198099.0,65.44,1.84,0,0,0,0.013,0.237,0.372
3.73,4.65,5.84,12.97,1.94,2.67,35.33,38.5,5.65,-0.287,10123.1,100.0,4.5,177904.0,75.0,1.41,0,0,0,0.0,0.005,0.0
40.08,83.02,133.35,255.29,34.03,112.43,88.22,99.5,7.89,0.739,17052.1,139.7,2.53,105512.0,0.92,0.94,1,1,1,1.0,0.999,1.0
7.18,29.07,58.18,116.5,13.73,33.13,59.3,67.47,6.56,-0.029,10263.3,163.5,8.98,56875.0,59.86,0.58,0,0,0,0.007,0.143,0.068
1.2,1.93,3.89,11.72,0.52,6.08,35.17,41.48,5.83,-0.399,8522.3,121.0,4.67,155594.0,75.0,1.14,0,0,0,0.0,0.003,0.0
17.21,32.55,75.08,149.22,13.32,33.52,57.24,68.88,7.08,0.13,15805.8,91.8,3.64,190265.0,57.26,2.44,0,1,1,0.055,0.679,0.845
64.1,165.65,306.35,490.16,81.57,216.81,86.02,99.5,9.32,0.798,29766.6,94.8,2.73,145711.0,0.92,1.32,1,1,1,1.0,1.0,1.0
0.11,3.21,13.63,30.94,0.43,0.75,31.63,42.15,5.72,-0.328,10286.7,135.9,2.92,139601.0,75.0,0.73,0,0,0,0.0,0.002,0.001
0.81,8.64,15.48,25.41,0.31,4.69,31.66,39.02,6.27,-0.326,16011.2,35.5,1.46,243172.0,75.0,2.57,0,0,0,0.0,0.017,0.008
40.32,112.73,199.45,320.61,51.67,143.55,82.61,99.5,8.29,0.517,23248.7,124.8,3.14,132602.0,0.92,0.91,1,1,1,0.999,1.0,1.0
1.19,1.93,5.98,31.39,1.67,4.12,32.5,34.58,6.05,-0.234,11204.9,86.5,5.86,200366.0,75.0,1.55,0,0,0,0.0,0.007,0.001
1.59,4.29,4.52,20.03,1.05,10.95,29.96,39.3,5.76,-0.45,9425.9,150.2,1.82,119980.0,75.0,0.4,0,0,0,0.0,0.002,0.001
4.24,5.73,19.6,24.07,2.3,2.57,42.38,47.13,6.11,-0.183,14217.8,48.5,3.04,231590.0,75.0,2.33,0,0,0,0.0,0.035,0.01
6.88,29.58,71.4,128.03,16.8,45.33,63.95,74.09,6.91,0.014,14705.1,120.3,3.97,142751.0,47.67,1.3,0,1,1,0.061,0.686,0.783
16.31,27.89,51.74,121.01,28.71,46.49,56.63,65.45,6.82,0.062,13435.5,104.7,4.23,163557.0,63.58,1.28,0,1,1,0.014,0.717,0.63
15.45,34.42,56.34,124.13,24.56,43.82,53.76,64.62,6.8,-0.021,13565.0,128.1,6.41,120234.0,65.09,1.26,0,1,1,0.026,0.547,0.554
65.09,180.59,307.83,512.61,66.04,170.58,80.92,99.5,10.57,0.918,34000.0,44.4,1.05,225889.0,0.92,1.68,1,1,1,1.0,1.0,1.0
25.45,80.65,139.12,249.78,39.63,120.66,85.83,99.5,7.48,0.471,16622.0,119.1,6.02,123548.0,0.92,0.96,1,1,1,0.995,0.998,1.0
72.99,148.68,344.5,588.75,90.8,209.01,86.79,99.5,9.89,0.814,29692.2,116.4,0.5,135306.0,0.92,1.16,1,1,1,1.0,1.0,1.0
7.31,31.67,46.9,111.53,20.15,62.23,59.35,68.36,6.78,0.049,13773.5,116.3,2.56,134946.0,58.22,0.86,0,1,1,0.014,0.563,0.736
0.57,2.4,7.83,8.41,0.11,0.94,32.8,39.02,5.77,-0.328,8423.3,122.5,2.25,123464.0,75.0,0.6,0,0,0,0.0,0.002,0.0
50.86,121.24,287.31,538.74,107.86,223.13,81.73,99.5,9.72,0.608,26662.6,133.1,1.66,122346.0,0.92,0.88,1,1,1,1.0,1.0,1.0
0.39,5.38,12.82,24.59,0.64,9.01,35.08,43.1,6.85,-0.45,9067.2,151.7,4.72,93072.0,75.0,0.91,0,0,0,0.0,0.012,0.0
24.46,61.21,159.0,284.1,38.63,115.53,85.7,99.5,9.02,0.452,21374.6,74.1,3.11,198585.0,0.92,2.2,1,1,1,0.999,1.0,1.0
1.75,6.4,7.73,8.04,1.43,8.21,29.88,37.48,5.28,-0.411,7012.8,154.6,7.37,70107.0,75.0,0.5,0,0,0,0.0,0.001,0.0
25.2,77.04,142.43,223.49,61.45,108.88,82.17,99.5,8.17,0.44,19261.3,107.2,4.22,149603.0,0.92,1.56,1,1,1,0.995,1.0,1.0
75.67,166.47,301.46,573.2,92.86,227.81,80.96,99.5,9.88,1.019,33069.9,46.2,1.06,226565.0,0.92,2.4,1,1,1,1.0,1.0,1.0
14.88,28.67,60.58,104.09,26.69,59.67,55.92,64.22,7.11,-0.064,18786.0,43.5,1.81,223153.0,65.84,2.62,0,1,1,0.016,0.786,0.948
0.33,6.09,9.56,17.76,0.07,8.49,33.07,37.4,6.15,-0.261,12452.9,83.5,3.11,177257.0,75.0,1.57,0,0,0,0.0,0.014,0.002
3.65,5.72,8.06,13.4,0.62,3.62,33.19,35.65,5.51,-0.442,8322.1,148.8,7.72,77649.0,75.0,0.21,0,0,0,0.0,0.001,0.0
6.67,30.29,50.57,117.85,16.14,37.92,48.54,63.41,7.45,0.03,11597.1,137.6,6.74,120211.0,67.32,0.93,0,1,0,0.033,0.61,0.382
0.98,4.6,9.79,12.99,0.8,7.91,34.39,37.01,5.06,-0.219,7923.9,149.3,5.31,110495.0,75.0,0.43,0,0,0,0.0,0.001,0.0
14.4,34.52,57.59,127.19,17.17,44.21,60.44,67.83,6.67,0.098,15241.6,110.0,2.07,155398.0,59.18,1.08,0,0,1,0.021,0.461,0.72
8.74,18.8,46.41,77.26,19.12,55.87,52.2,57.86,6.68,-0.079,13591.5,98.8,2.3,176986.0,75.0,1.37,0,0,0,0.005,0.222,0.471
3.89,4.09,5.41,13.59,0.37,0.81,30.56,35.6,5.97,-0.277,13550.5,56.4,1.42,215366.0,75.0,1.96,0,0,0,0.0,0.006,0.001
10.88,28.75,68.36,148.25,25.49,47.13,65.92,76.9,7.55,0.039,16728.4,82.6,2.42,188075.0,42.51,1.73,0,1,1,0.239,0.932,0.96
14.72,31.86,60.38,137.17,24.04,59.49,63.79,74.41,6.7,-0.022,13692.8,97.9,3.9,164822.0,47.09,1.68,0,1,1,0.048,0.716,0.848
0.01,5.02,11.33,15.59,0.69,0.88,33.96,42.64,6.21,-0.387,13685.0,47.8,2.29,232897.0,75.0,2.08,0,0,0,0.0,0.013,0.003
21.27,83.02,144.19,298.07,59.48,118.67,82.4,99.5,8.5,0.542,20257.6,67.0,2.28,175955.0,0.92,2.03,1,1,1,0.999,1.0,1.0
29.5,77.59,133.14,215.65,45.82,137.69,81.44,95.15,7.71,0.311,18170.3,121.7,4.3,120505.0,8.93,1.14,1,1,1,0.99,0.999,1.0
2.99,7.14,11.1,34.38,1.45,2.14,35.52,42.52,5.68,-0.222,10380.8,141.7,5.32,133798.0,75.0,1.13,0,0,0,0.0,0.005,0.002
1.38,7.72,7.8,11.27,0.62,0.98,35.25,39.36,4.89,-0.35,3160.6,179.8,4.62,27381.0,75.0,0.25,0,0,0,0.0,0.0,0.0
25.64,76.0,182.39,331.21,63.11,109.74,83.68,99.5,8.4,0.374,20630.1,170.3,3.12,73536.0,0.92,0.41,1,1,1,0.997,1.0,1.0
0.03,0.33,10.15,12.21,1.7,2.6,25.44,34.25,5.48,-0.262,10825.6,128.2,0.5,143778.0,75.0,0.93,0,0,0,0.0,0.002,0.0
